Name,Type,Data Type,Address
Green Belt Conveyor 2,Output,Bool,Coil 70
Green Belt Conveyor 3,Output,Bool,Coil 71
Green Belt Conveyor 4,Output,Bool,Coil 72
Metal Belt Conveyor 1,Output,Bool,Coil 73
Curved Roller Conveyor B,Output,Bool,Coil 74
Curved Roller Conveyor F,Output,Bool,Coil 75
Roller Conveyor B2M,Output,Bool,Coil 76
Roller Conveyor M2G,Output,Bool,Coil 77
Roller Conveyor G2F,Output,Bool,Coil 78
Blue Sensor,Input,Int,Input Reg 0
Green Sensor,Input,Int,Input Reg 1
Metal Sensor,Input,Int,Input Reg 2
Blue X Position Sensor,Input,Real,Input Reg 3
Blue Z Position Sensor,Input,Real,Input Reg 4
Blue X Position Sensor 2,Input,Real,Input Reg 5
Blue Z Position Sensor 2,Input,Real,Input Reg 6
Green X Position Sensor,Input,Real,Input Reg 7
Green Z Position Sensor,Input,Real,Input Reg 8
Green X Position Sensor 2,Input,Real,Input Reg 9
Green Z Position Sensor 2,Input,Real,Input Reg 10
Metal X Position Sensor,Input,Real,Input Reg 11
Metal Z Position Sensor,Input,Real,Input Reg 12
Metal X Position Sensor 2,Input,Real,Input Reg 13
Metal Z Position Sensor 2,Input,Real,Input Reg 14
Blue Sensor 2,Input,Int,Input Reg 15
Green Sensor 2,Input,Int,Input Reg 16
Metal Sensor2,Input,Int,Input Reg 17
Blue Pick & Place X Set Point,Output,Real,Holding Reg 0
Blue Pick & Place Z Set Point,Output,Real,Holding Reg 1
Blue Pick & Place X Set Point 2,Output,Real,Holding Reg 2
Blue Pick & Place Z Set Point 2,Output,Real,Holding Reg 3
Green Pick & Place X Set Point,Output,Real,Holding Reg 4
Green Pick & Place Z Set Point,Output,Real,Holding Reg 5
Green Pick & Place X Set Point 2,Output,Real,Holding Reg 6
Green Pick & Place Z Set Point 2,Output,Real,Holding Reg 7
Metal Pick & Place X Set Point,Output,Real,Holding Reg 8
Metal Pick & Place Z Set Point,Output,Real,Holding Reg 9
Metal Pick & Place X Set Point 2,Output,Real,Holding Reg 10
Metal Pick & Place Z Set Point 2,Output,Real,Holding Reg 11
Stacker Crane 2 Target Position,Output,Int,Holding Reg 15
Stacker Crane 3 Target Position,Output,Int,Holding Reg 16
Stacker Crane 4 Target Position,Output,Int,Holding Reg 17
